search_date,search_site,url,company_name,model_name,price,CPU,memory,SSD,PCIe,display_size,display_res_width,display_res_height,display_touch,display_glare,display_vote,keyboard_light,keyboard_vote,battery_size,battery_time1,battery_time2,weight,DVD,SIM,LAN_port,USB30,USB31,output_HDMI,output_VGA,SDcard,MSoffice
20160717,official,"http://www.fujitsu-webmart.com/pc/search?kind=2,9&series=1220&open=series,price,spec",Fujitsu,LIFEBOOK WS1/W,176820,Core i7-6500U,8,256,0,13.3,2560,1440,0,0,1,0,0,51,9.3,NA,1.2,0,0,1,3,0,1,1,1,0
20160717,official,"http://www.fujitsu-webmart.com/pc/search?kind=2,9&series=1220&open=series,price,spec",Fujitsu,LIFEBOOK WS1/W,179556,Core i7-6500U,8,256,0,13.3,2560,1440,1,1,1,0,0,51,9.3,NA,1.32,0,0,1,3,0,1,1,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,169344,Core i5-6267U,4,128,1,13.3,1920,1080,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,201744,Core i5-6267U,8,256,1,13.3,1920,1080,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,223344,Core i7-6567U,8,256,1,13.3,1920,1080,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,234144,Core i7-6567U,16,256,1,13.3,1920,1080,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,253044,Core i7-6567U,16,256,1,13.3,2560,1440,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,215784,Core i5-6267U,8,128,1,13.3,2560,1440,1,1,0,1,0,58,19.4,NA,1.35,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,269784,Core i7-6567U,16,256,1,13.3,2560,1440,1,1,0,1,0,58,19.4,NA,1.35,0,0,0,2,0,1,0,1,0
20160717,official,http://h50146.www5.hp.com/directplus/personal/notebooks/hp_spectre_13/#Spec,HP,Spectre 13,154224,Core i5-6200U,8,256,1,13.3,1920,1080,0,1,0,0,0,38,9,3.83,1.11,0,0,0,0,3,0,0,0,0
20160717,official,http://h50146.www5.hp.com/directplus/personal/notebooks/hp_spectre_13/#Spec,HP,Spectre 13,175824,Core i7-6500U,8,512,1,13.3,1920,1080,0,1,0,0,0,38,9,3.83,1.11,0,0,0,0,3,0,0,0,0
20160717,kakaku,http://kakaku.com/item/K0000752281/,Apple,MacBook,121300,Core M 1.1GHz,8,256,1,12,2304,1440,0,1,0,1,0,41.4,10,NA,0.92,0,0,0,0,1,1,0,0,0
20160717,kakaku,http://kakaku.com/item/K0000752284/,Apple,MacBook,141700,Core M 1.2GHz,8,512,1,12,2304,1440,0,1,0,1,0,41.4,10,NA,0.92,0,0,0,0,1,1,0,0,0
20160717,kakaku,http://kakaku.com/item/K0000752289/,Apple,MacBook Air,102850,Core i5-5250U,4,128,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160717,kakaku,http://kakaku.com/item/K0000872152/,Apple,MacBook Air,103058,Core i5-5250U,8,128,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160717,kakaku,http://kakaku.com/item/K0000752290/,Apple,MacBook Air,109938,Core i5-5250U,4,256,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160717,kakaku,http://kakaku.com/item/K0000872153/,Apple,MacBook Air,126958,Core i5-5250U,8,256,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160717,official,http://www.apple.com/jp/shop/buy-mac/macbook-air,Apple,MacBook Air,141264,Core i7-5650U,8,128,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160717,official,http://www.apple.com/jp/shop/buy-mac/macbook-air,Apple,MacBook Air,167184,Core i7-5650U,8,256,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160925,kakaku,http://kakaku.com/item/K0000752281/,AppleDscnt,MacBook dscnt,115440,Core M 1.1GHz,8,256,1,12,2304,1440,0,1,0,1,0,41.4,10,NA,0.92,0,0,0,0,1,1,0,0,0
20160925,kakaku,http://kakaku.com/item/K0000752284/,AppleDscnt,MacBook dscnt,124318,Core M 1.2GHz,8,512,1,12,2304,1440,0,1,0,1,0,41.4,10,NA,0.92,0,0,0,0,1,1,0,0,0
20160925,kakaku,http://kakaku.com/item/K0000752289/,AppleDscnt,MacBook Air dscnt,91800,Core i5-5250U,4,128,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160925,kakaku,http://kakaku.com/item/K0000872152/,AppleDscnt,MacBook Air dscnt,99800,Core i5-5250U,8,128,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160925,kakaku,http://kakaku.com/item/K0000752290/,AppleDscnt,MacBook Air dscnt,99438,Core i5-5250U,4,256,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160925,kakaku,http://kakaku.com/item/K0000872153/,AppleDscnt,MacBook Air dscnt,124448,Core i5-5250U,8,256,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160925,official,http://www.apple.com/jp/shop/buy-mac/macbook-air,AppleDscnt,MacBook Air dscnt,132788,Core i7-5650U,8,128,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160925,official,http://www.apple.com/jp/shop/buy-mac/macbook-air,AppleDscnt,MacBook Air dscnt,157152,Core i7-5650U,8,256,1,13.3,1440,900,0,1,0,1,0,54,12,NA,1.35,0,0,0,3,0,1,0,1,0
20160927,HK,HK,Lenovo,ThinkPad13,107730,Core i7-6500U,8,256,0,13.3,1920,1080,0,0,1,0,1,42,10,4.62,1.44,0,0,0,3,1,1,0,1,0
20160927,HK,HK,Lenovo,ThinkPad13,127872,Core i7-6500U,8,512,0,13.3,1920,1080,0,0,1,0,1,42,10,4.62,1.44,0,0,0,3,1,1,0,1,0
